"age","workclass","fnlwgt","education","educationnum","maritalstatus","occupation","relationship","race","sex","capitalgain","capitalloss","hoursperweek","nativecountry","income","native.country"
19," Private",87653," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Female",0,0,25," United-States"," <=50K"," United-States"
21," Private",286853," HS-grad",9," Never-married"," Other-service"," Own-child"," White"," Male",0,0,35," United-States"," <=50K"," United-States"
58," Private",205896," HS-grad",9," Divorced"," Sales"," Other-relative"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
20," Private",190231," 9th",5," Never-married"," Machine-op-inspct"," Own-child"," White"," Female",0,0,11," Nicaragua"," <=50K"," Nicaragua"
47," Private",122026," Assoc-voc",11," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"," United-States"
53," Self-emp-not-inc",174102," 7th-8th",4," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",4386,0,50," Greece"," >50K"," Greece"
43," Private",125461," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,65," United-States"," >50K"," United-States"
22," Private",222993," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
40," Private",225978," Some-college",10," Separated"," Exec-managerial"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"," United-States"
19," Private",116562," HS-grad",9," Never-married"," Other-service"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
24," Private",199011," HS-grad",9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
41," Private",443508," Bachelors",13," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,48," Canada"," >50K"," Canada"
22," Local-gov",238831," Some-college",10," Never-married"," Protective-serv"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
32," Federal-gov",566117," Some-college",10," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
26," Private",188767," Bachelors",13," Never-married"," Sales"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
40," Private",174395," HS-grad",9," Divorced"," Other-service"," Not-in-family"," White"," Male",0,0,60," Greece"," <=50K"," Greece"
59," Private",90290," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,34," United-States"," <=50K"," United-States"
61," Private",43554," 5th-6th",3," Never-married"," Handlers-cleaners"," Not-in-family"," Black"," Male",0,2339,40," United-States"," <=50K"," United-States"
54," Private",178251," Assoc-acdm",12," Widowed"," Adm-clerical"," Unmarried"," White"," Female",0,0,30," United-States"," <=50K"," United-States"
64," Private",258006," Some-college",10," Widowed"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," Cuba"," <=50K"," Cuba"
55," Private",92215," HS-grad",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
28," Private",192200," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," ?"," <=50K"," ?"
34," Private",355571," HS-grad",9," Divorced"," Machine-op-inspct"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"," United-States"
47," Self-emp-inc",139268," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1977,60," United-States"," >50K"," United-States"
36," Private",209609," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,38," United-States"," <=50K"," United-States"
35," Private",190895," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States"," <=50K"," United-States"
47," State-gov",188386," Masters",14," Separated"," Prof-specialty"," Not-in-family"," White"," Male",0,0,38," United-States"," <=50K"," United-States"
44," Private",174491," HS-grad",9," Widowed"," Other-service"," Unmarried"," Black"," Female",0,0,30," United-States"," <=50K"," United-States"
30," Private",272451," Bachelors",13," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
40," Private",105936," HS-grad",9," Married-civ-spouse"," Sales"," Wife"," White"," Female",5013,0,20," United-States"," <=50K"," United-States"
36," Private",158592," 11th",7," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States"," <=50K"," United-States"
32," Federal-gov",454508," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
38," Private",187264," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,55," United-States"," <=50K"," United-States"
36," Private",107302," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States"," >50K"," United-States"
28," Private",270366," 10th",6," Divorced"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
37," Self-emp-inc",186359," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",7688,0,60," United-States"," >50K"," United-States"
50," Private",121685," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,45," United-States"," >50K"," United-States"
48," Private",75104," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," <=50K"," United-States"
26," ?",188343," HS-grad",9," Never-married"," ?"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"," United-States"
54," Self-emp-not-inc",32778," HS-grad",9," Married-civ-spouse"," Sales"," Wife"," White"," Female",0,0,30," United-States"," <=50K"," United-States"
27," Private",217200," Some-college",10," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
46," ?",162034," HS-grad",9," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
47," Private",102308," Masters",14," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
30," Private",103435," HS-grad",9," Divorced"," Machine-op-inspct"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
56," Self-emp-not-inc",385632," 7th-8th",4," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
38," Federal-gov",115433," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",7688,0,33," United-States"," >50K"," United-States"
28," Private",334368," Some-college",10," Separated"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
45," Private",270842," Masters",14," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,50," United-States"," >50K"," United-States"
40," Private",174515," HS-grad",9," Married-spouse-absent"," Other-service"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
56," Private",193130," Prof-school",15," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,16," United-States"," <=50K"," United-States"
46," Private",271828," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
29," Local-gov",123983," Masters",14," Never-married"," Prof-specialty"," Own-child"," Asian-Pac-Islander"," Male",0,0,40," Taiwan"," <=50K"," Taiwan"
43," Private",307767," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
53," Private",358056," 11th",7," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
33," Local-gov",262042," HS-grad",9," Divorced"," Adm-clerical"," Own-child"," White"," Female",0,1138,40," United-States"," <=50K"," United-States"
17," Private",206010," 12th",8," Never-married"," Other-service"," Own-child"," White"," Female",0,0,8," United-States"," <=50K"," United-States"
28," Private",159001," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,30," United-States"," <=50K"," United-States"
28," Private",298696," Bachelors",13," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
29," Self-emp-not-inc",132686," Prof-school",15," Never-married"," Prof-specialty"," Own-child"," White"," Male",0,0,50," Italy"," >50K"," Italy"
23," Private",240063," Bachelors",13," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",0,0,25," United-States"," <=50K"," United-States"
50," Local-gov",177705," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,1740,48," United-States"," <=50K"," United-States"
17," Local-gov",182070," 11th",7," Never-married"," Other-service"," Own-child"," White"," Female",0,0,16," United-States"," <=50K"," United-States"
26," Private",240842," HS-grad",9," Never-married"," Machine-op-inspct"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"," United-States"
53," Private",103931," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
23," Private",268525," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"," United-States"
36," Self-emp-not-inc",245090," Bachelors",13," Never-married"," Farming-fishing"," Not-in-family"," White"," Male",0,0,50," Mexico"," <=50K"," Mexico"
34," Private",182177," HS-grad",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",3325,0,35," United-States"," <=50K"," United-States"
64," Local-gov",244903," 11th",7," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,40," United-States"," >50K"," United-States"
37," Private",218188," HS-grad",9," Divorced"," Machine-op-inspct"," Other-relative"," White"," Female",0,0,32," United-States"," <=50K"," United-States"
72," ?",177226," HS-grad",9," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,8," United-States"," <=50K"," United-States"
19," ?",145234," Some-college",10," Never-married"," ?"," Own-child"," White"," Male",0,0,30," United-States"," <=50K"," United-States"
26," Private",96130," HS-grad",9," Never-married"," Craft-repair"," Other-relative"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
40," State-gov",184378," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
57," Private",98350," Prof-school",15," Married-civ-spouse"," Craft-repair"," Husband"," Asian-Pac-Islander"," Male",0,1902,40," Philippines"," >50K"," Philippines"
45," Self-emp-not-inc",94962," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," England"," <=50K"," England"
28," Private",480861," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,45," United-States"," <=50K"," United-States"
42," Self-emp-inc",187702," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,2415,60," United-States"," >50K"," United-States"
47," Private",125892," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,75," United-States"," >50K"," United-States"
40," ?",78255," HS-grad",9," Divorced"," ?"," Not-in-family"," White"," Male",0,0,25," United-States"," <=50K"," United-States"
61," Private",208919," Masters",14," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States"," >50K"," United-States"
46," Self-emp-not-inc",254291," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States"," >50K"," United-States"
40," ?",273425," Assoc-voc",11," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,15," United-States"," <=50K"," United-States"
31," Private",265706," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
53," Self-emp-not-inc",279129," Some-college",10," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,30," United-States"," <=50K"," United-States"
39," Self-emp-inc",122742," Assoc-acdm",12," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,55," United-States"," >50K"," United-States"
42," Self-emp-not-inc",64632," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," <=50K"," United-States"
59," Private",361494," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
29," Private",173652," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
20," Private",283499," Some-college",10," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,30," United-States"," <=50K"," United-States"
41," Local-gov",51111," Bachelors",13," Widowed"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
40," State-gov",40024," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,38," United-States"," >50K"," United-States"
44," Private",111275," HS-grad",9," Divorced"," Machine-op-inspct"," Unmarried"," Black"," Female",0,0,56," United-States"," <=50K"," United-States"
60," Self-emp-not-inc",170114," 9th",5," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,1672,84," United-States"," <=50K"," United-States"
48," Self-emp-inc",193188," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
22," ?",175586," HS-grad",9," Never-married"," ?"," Unmarried"," Black"," Female",0,0,35," United-States"," <=50K"," United-States"
45," State-gov",263982," Some-college",10," Divorced"," Prof-specialty"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
44," Private",198316," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,50," United-States"," >50K"," United-States"
20," Private",168165," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Male",0,0,30," United-States"," <=50K"," United-States"
35," Private",356838," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",2829,0,55," Poland"," <=50K"," Poland"
52," Self-emp-inc",210736," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States"," <=50K"," United-States"
19," Private",130431," 5th-6th",3," Never-married"," Farming-fishing"," Not-in-family"," White"," Male",0,0,36," Mexico"," <=50K"," Mexico"
19," Private",181546," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
44," State-gov",351228," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
25," Private",131976," Bachelors",13," Never-married"," Exec-managerial"," Own-child"," White"," Male",0,0,55," United-States"," <=50K"," United-States"
26," Private",200639," Some-college",10," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
64," Federal-gov",267546," Assoc-acdm",12," Separated"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," >50K"," United-States"
43," Private",300528," Some-college",10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
37," Federal-gov",334314," HS-grad",9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
32," Private",295589," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,1977,40," United-States"," >50K"," United-States"
41," Private",247752," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
32," ?",199244," 10th",6," Divorced"," ?"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
55," Self-emp-inc",189933," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States"," <=50K"," United-States"
38," Private",498785," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
64," Self-emp-not-inc",150121," Doctorate",16," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,25," United-States"," >50K"," United-States"
59," Local-gov",62020," HS-grad",9," Widowed"," Craft-repair"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"," United-States"
58," Private",235624," Assoc-voc",11," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," Germany"," >50K"," Germany"
41," Private",173938," Prof-school",15," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,50," ?"," >50K"," ?"
27," Private",200641," 10th",6," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," Mexico"," <=50K"," Mexico"
41," State-gov",355756," Some-college",10," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
27," Private",19395," Some-college",10," Married-civ-spouse"," Handlers-cleaners"," Wife"," White"," Female",0,0,35," United-States"," <=50K"," United-States"
41," Local-gov",242586," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
30," Local-gov",326104," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
21," Private",57211," HS-grad",9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
71," Private",157909," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Female",2964,0,60," United-States"," <=50K"," United-States"
30," Private",125279," HS-grad",9," Married-spouse-absent"," Sales"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
51," Self-emp-inc",180195," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States"," <=50K"," United-States"
37," Private",325538," HS-grad",9," Never-married"," Exec-managerial"," Own-child"," White"," Male",0,0,60," ?"," <=50K"," ?"
39," Private",277886," Bachelors",13," Married-civ-spouse"," Sales"," Wife"," White"," Female",0,0,30," United-States"," <=50K"," United-States"
59," Private",99131," HS-grad",9," Widowed"," Prof-specialty"," Not-in-family"," White"," Female",0,0,18," United-States"," <=50K"," United-States"
36," Private",224531," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States"," >50K"," United-States"
39," Private",129597," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",3464,0,40," United-States"," <=50K"," United-States"
34," Private",235124," HS-grad",9," Never-married"," Other-service"," Unmarried"," Black"," Female",0,0,35," United-States"," <=50K"," United-States"
17," ?",110998," Some-college",10," Never-married"," ?"," Own-child"," Asian-Pac-Islander"," Female",0,0,40," Philippines"," <=50K"," Philippines"
42," Local-gov",147510," Bachelors",13," Separated"," Prof-specialty"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
38," Private",278924," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1887,50," United-States"," >50K"," United-States"
47," ?",111563," Assoc-voc",11," Divorced"," ?"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
19," Private",417657," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,50," United-States"," <=50K"," United-States"
26," Private",108658," HS-grad",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
30," Private",403433," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," Black"," Male",0,0,50," United-States"," >50K"," United-States"
52," Local-gov",317733," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",7688,0,40," United-States"," >50K"," United-States"
35," Private",180342," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
59," Federal-gov",31840," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
32," State-gov",159537," Assoc-acdm",12," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
22," Private",51136," Some-college",10," Never-married"," Tech-support"," Not-in-family"," White"," Female",0,0,60," United-States"," <=50K"," United-States"
24," Private",54560," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,45," United-States"," <=50K"," United-States"
25," Private",201413," Some-college",10," Never-married"," Other-service"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"," United-States"
37," Private",175130," HS-grad",9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,45," United-States"," <=50K"," United-States"
36," Private",173804," Some-college",10," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"," United-States"
20," Private",131230," HS-grad",9," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",0,1590,40," United-States"," <=50K"," United-States"
59," Private",294395," Masters",14," Widowed"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
39," Private",172718," HS-grad",9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
32," Private",43403," Some-college",10," Divorced"," Farming-fishing"," Not-in-family"," White"," Female",0,1590,54," United-States"," <=50K"," United-States"
34," Private",19847," HS-grad",9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
41," Private",231689," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
26," Private",209942," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," Black"," Male",0,0,40," United-States"," <=50K"," United-States"
31," Private",83446," HS-grad",9," Widowed"," Craft-repair"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
45," Private",125194," 11th",7," Never-married"," Machine-op-inspct"," Not-in-family"," Black"," Female",0,0,40," United-States"," <=50K"," United-States"
27," Private",58654," Assoc-voc",11," Separated"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
36," Private",252327," 5th-6th",3," Married-spouse-absent"," Craft-repair"," Other-relative"," White"," Male",0,0,40," Mexico"," <=50K"," Mexico"
30," ?",96851," Some-college",10," Never-married"," ?"," Not-in-family"," White"," Female",0,1719,25," United-States"," <=50K"," United-States"
35," Private",102976," Masters",14," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,40," United-States"," >50K"," United-States"
46," Self-emp-not-inc",57452," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
44," Private",265266," 10th",6," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
38," Private",203836," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",3464,0,40," Columbia"," <=50K"," Columbia"
51," ?",163998," HS-grad",9," Married-spouse-absent"," ?"," Not-in-family"," White"," Male",0,0,20," United-States"," >50K"," United-States"
45," Private",214627," Doctorate",16," Widowed"," Prof-specialty"," Unmarried"," White"," Male",15020,0,40," Iran"," >50K"," Iran"
20," Private",368852," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"," United-States"
44," Private",353396," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States"," <=50K"," United-States"
61," Self-emp-inc",156542," Prof-school",15," Separated"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," >50K"," United-States"
58," Private",78141," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
42," Federal-gov",122861," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
61," Private",231323," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
46," State-gov",192779," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7688,0,40," United-States"," >50K"," United-States"
39," Private",346478," Some-college",10," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"," United-States"
30," State-gov",295612," HS-grad",9," Separated"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
37," Private",336598," 5th-6th",3," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,36," Mexico"," <=50K"," Mexico"
39," Local-gov",357173," Assoc-acdm",12," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",0,0,59," United-States"," <=50K"," United-States"
54," Private",457237," Masters",14," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
20," Private",179423," Some-college",10," Never-married"," Transport-moving"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
53," Private",99476," HS-grad",9," Divorced"," Other-service"," Not-in-family"," White"," Female",0,0,38," United-States"," <=50K"," United-States"
20," Private",161922," HS-grad",9," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,43," United-States"," <=50K"," United-States"
31," Local-gov",188798," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,50," United-States"," <=50K"," United-States"
18," ?",139003," HS-grad",9," Never-married"," ?"," Other-relative"," Other"," Female",0,0,12," United-States"," <=50K"," United-States"
25," Local-gov",222800," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
50," Private",400004," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States"," <=50K"," United-States"
63," Private",183608," 10th",6," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
23," Private",210443," Bachelors",13," Never-married"," Prof-specialty"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
34," Private",114691," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," >50K"," United-States"
18," Private",304169," 11th",7," Never-married"," Sales"," Own-child"," White"," Male",0,0,35," United-States"," <=50K"," United-States"
46," State-gov",106705," Masters",14," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,38," United-States"," <=50K"," United-States"
31," Private",235389," 7th-8th",4," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Female",0,0,30," Portugal"," <=50K"," Portugal"
25," Private",40915," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," United-States"," >50K"," United-States"
35," Self-emp-not-inc",168475," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,60," United-States"," >50K"," United-States"
46," Private",357338," Bachelors",13," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
31," Private",120461," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
32," Self-emp-not-inc",65278," Doctorate",16," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
39," Private",75995," HS-grad",9," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,45," United-States"," <=50K"," United-States"
55," Private",52953," HS-grad",9," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
45," Self-emp-not-inc",204205," 10th",6," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,65," United-States"," <=50K"," United-States"
32," ?",282622," HS-grad",9," Divorced"," ?"," Unmarried"," White"," Female",0,0,28," United-States"," <=50K"," United-States"
39," Local-gov",57424," Bachelors",13," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,35," United-States"," <=50K"," United-States"
23," Private",129583," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," Black"," Female",0,0,16," United-States"," <=50K"," United-States"
57," Private",180920," 10th",6," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,43," United-States"," <=50K"," United-States"
39," Private",74163," 12th",8," Divorced"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
24," Local-gov",134181," Bachelors",13," Never-married"," Prof-specialty"," Own-child"," White"," Female",0,0,50," United-States"," <=50K"," United-States"
